,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Вінницька,4700,5966,7328,9159,12061,12145,14332,17768,20253,22303,27249,37270,46615,58384,71104,83175
Волинська,4771,6285,7397,9711,12340,11796,13916,16993,19249,19817,23218,30387,34310,49987,58297,73215
Дніпропетровська,8609,11909,15239,20868,30918,27737,34709,42068,44650,46333,53749,65897,75396,97137,114784,122379
Донецька,9713,12490,15725,20197,26028,23137,28986,36446,38907,37830,27771,26864,32318,39411,45959,49422
Житомирська,4397,5554,6636,8485,11545,11419,14616,17184,19551,20286,23678,30698,38520,49737,62911,70247
Закарпатська,4238,5373,6576,8452,10626,10081,12278,14455,17088,17044,19170,22989,25727,34202,41706,48861
Запорізька,8093,10683,13369,18022,23232,20614,23657,27567,30656,30526,37251,50609,59729,75306,85784,91498
Івано-Франківська,5238,6916,8157,10055,12940,12485,14814,19386,23379,24022,27232,33170,37220,46312,57033,63254
Київська,6652,8673,10918,15033,20593,21769,26140,34420,40483,39988,46058,60109,74216,90027,112521,123267
Кіровоградська,5122,6394,7723,9546,13515,13096,15533,19918,22082,25533,29223,39356,47469,55183,67763,77816
Луганська,5973,8131,10085,13628,18338,16562,19788,25067,25950,24514,14079,10778,14251,13883,16301,18798
Львівська,5396,6657,8351,10915,13902,14093,16353,20490,24387,24937,28731,37338,45319,58221,70173,85198
Миколаївська,6424,7801,9769,12227,16175,17050,20276,23402,24838,27355,30357,41501,50091,60549,70336,82149
Одеська,7028,8619,10379,13827,19638,20341,22544,25748,27070,29118,31268,41682,50159,62701,72738,82903
Полтавська,8841,11574,14330,18500,22476,22337,29652,35246,38424,39962,48040,66390,81145,106248,123763,134449
Рівненська,4817,6269,7724,9695,12217,11699,13785,16735,18860,19003,24762,30350,33958,42038,49044,58332
Сумська,5009,6497,7848,10249,13622,13631,15711,19800,21722,23517,26943,37170,41741,51419,62955,70576
Тернопільська,3516,4603,5819,7510,9688,10240,11713,15055,16644,16819,20228,24963,29247,38593,46833,54833
Харківська,7182,9025,11353,15645,21294,21228,23639,27966,29972,31128,35328,45816,57150,69489,86904,92864
Херсонська,4546,5713,6744,8122,11944,12256,14346,16990,17910,19311,21725,30246,36585,45532,52922,59987
Хмельницька,4549,5764,7023,9100,11932,11780,13602,17260,19920,20165,24662,31660,37881,49916,59583,65916
Черкаська,4853,6681,8209,10331,14581,14393,17325,21082,24558,26168,30628,40759,48025,59697,76904,86319
Чернівецька,3589,4654,5650,7369,9771,9383,10939,13228,14529,15154,16552,20338,23365,31509,37441,46136
Чернігівська,5163,6474,7714,10081,13213,13121,15406,19357,22096,22603,26530,35196,41726,55198,69725,78118
