"Показник","Територіальний розріз","Період","Значення cпостереження"
"Середній вік населення станом на 1 січня","Автономна Республіка Крим","2003","41.1"
"Середній вік населення станом на 1 січня","Автономна Республіка Крим","2004","41.3"
"Середній вік населення станом на 1 січня","Автономна Республіка Крим","2005","41.6"
"Середній вік населення станом на 1 січня","Автономна Республіка Крим","2006","41.9"
"Середній вік населення станом на 1 січня","Автономна Республіка Крим","2007","42.1"
"Середній вік населення станом на 1 січня","Автономна Республіка Крим","2008","42.2"
"Середній вік населення станом на 1 січня","Автономна Республіка Крим","2009","42.4"
"Середній вік населення станом на 1 січня","Автономна Республіка Крим","2010","42.5"
"Середній вік населення станом на 1 січня","Автономна Республіка Крим","2011","42.7"
"Середній вік населення станом на 1 січня","Автономна Республіка Крим","2012","42.8"
"Середній вік населення станом на 1 січня","Автономна Республіка Крим","2013","42.9"
"Середній вік населення станом на 1 січня","Автономна Республіка Крим","2014","43"
"Середній вік населення станом на 1 січня","Автономна Республіка Крим","2015",""
"Середній вік населення станом на 1 січня","Автономна Республіка Крим","2016",""
"Середній вік населення станом на 1 січня","Автономна Республіка Крим","2017",""
"Середній вік населення станом на 1 січня","Автономна Республіка Крим","2018",""
"Середній вік населення станом на 1 січня","Автономна Республіка Крим","2019",""
"Середній вік населення станом на 1 січня","Автономна Республіка Крим","2020",""
"Середній вік населення станом на 1 січня","Автономна Республіка Крим","2021",""
"Середній вік населення станом на 1 січня","Автономна Республіка Крим","2022",""
"Середній вік населення станом на 1 січня","Автономна Республіка Крим","2003","36.3"
"Середній вік населення станом на 1 січня","Автономна Республіка Крим","2004","36.5"
"Середній вік населення станом на 1 січня","Автономна Республіка Крим","2005","36.7"
"Середній вік населення станом на 1 січня","Автономна Республіка Крим","2006","36.9"
"Середній вік населення станом на 1 січня","Автономна Республіка Крим","2007","37.1"
"Середній вік населення станом на 1 січня","Автономна Республіка Крим","2008","37.2"
"Середній вік населення станом на 1 січня","Автономна Республіка Крим","2009","37.2"
"Середній вік населення станом на 1 січня","Автономна Республіка Крим","2010","37.3"
"Середній вік населення станом на 1 січня","Автономна Республіка Крим","2011","37.4"
"Середній вік населення станом на 1 січня","Автономна Республіка Крим","2012","37.5"
"Середній вік населення станом на 1 січня","Автономна Республіка Крим","2013","37.6"
"Середній вік населення станом на 1 січня","Автономна Республіка Крим","2014","37.7"
"Середній вік населення станом на 1 січня","Автономна Республіка Крим","2015",""
"Середній вік населення станом на 1 січня","Автономна Республіка Крим","2016",""
"Середній вік населення станом на 1 січня","Автономна Республіка Крим","2017",""
"Середній вік населення станом на 1 січня","Автономна Республіка Крим","2018",""
"Середній вік населення станом на 1 січня","Автономна Республіка Крим","2019",""
"Середній вік населення станом на 1 січня","Автономна Республіка Крим","2020",""
"Середній вік населення станом на 1 січня","Автономна Республіка Крим","2021",""
"Середній вік населення станом на 1 січня","Автономна Республіка Крим","2022",""
"Середній вік населення станом на 1 січня","Автономна Республіка Крим","2003","38.9"
"Середній вік населення станом на 1 січня","Автономна Республіка Крим","2004","39.1"
"Середній вік населення станом на 1 січня","Автономна Республіка Крим","2005","39.4"
"Середній вік населення станом на 1 січня","Автономна Республіка Крим","2006","39.6"
"Середній вік населення станом на 1 січня","Автономна Республіка Крим","2007","39.8"
"Середній вік населення станом на 1 січня","Автономна Республіка Крим","2008","39.9"
"Середній вік населення станом на 1 січня","Автономна Республіка Крим","2009","40"
"Середній вік населення станом на 1 січня","Автономна Республіка Крим","2010","40.1"
"Середній вік населення станом на 1 січня","Автономна Республіка Крим","2011","40.3"
"Середній вік населення станом на 1 січня","Автономна Республіка Крим","2012","40.4"
"Середній вік населення станом на 1 січня","Автономна Республіка Крим","2013","40.4"
"Середній вік населення станом на 1 січня","Автономна Республіка Крим","2014","40.5"
"Середній вік населення станом на 1 січня","Автономна Республіка Крим","2015",""
"Середній вік населення станом на 1 січня","Автономна Республіка Крим","2016",""
"Середній вік населення станом на 1 січня","Автономна Республіка Крим","2017",""
"Середній вік населення станом на 1 січня","Автономна Республіка Крим","2018",""
"Середній вік населення станом на 1 січня","Автономна Республіка Крим","2019",""
"Середній вік населення станом на 1 січня","Автономна Республіка Крим","2020",""
"Середній вік населення станом на 1 січня","Автономна Республіка Крим","2021",""
"Середній вік населення станом на 1 січня","Автономна Республіка Крим","2022",""
"Середній вік населення станом на 1 січня","Вінницька","2003","42.6"
"Середній вік населення станом на 1 січня","Вінницька","2004","42.8"
"Середній вік населення станом на 1 січня","Вінницька","2005","42.9"
"Середній вік населення станом на 1 січня","Вінницька","2006","43"
"Середній вік населення станом на 1 січня","Вінницька","2007","43.1"
"Середній вік населення станом на 1 січня","Вінницька","2008","43.2"
"Середній вік населення станом на 1 січня","Вінницька","2009","43.3"
"Середній вік населення станом на 1 січня","Вінницька","2010","43.4"
"Середній вік населення станом на 1 січня","Вінницька","2011","43.4"
"Середній вік населення станом на 1 січня","Вінницька","2012","43.5"
"Середній вік населення станом на 1 січня","Вінницька","2013","43.5"
"Середній вік населення станом на 1 січня","Вінницька","2014","43.6"
"Середній вік населення станом на 1 січня","Вінницька","2015","43.7"
"Середній вік населення станом на 1 січня","Вінницька","2016","43.7"
"Середній вік населення станом на 1 січня","Вінницька","2017","43.9"
"Середній вік населення станом на 1 січня","Вінницька","2018","44.1"
"Середній вік населення станом на 1 січня","Вінницька","2019","44.2"
"Середній вік населення станом на 1 січня","Вінницька","2020","44.5"
"Середній вік населення станом на 1 січня","Вінницька","2021","44.6"
"Середній вік населення станом на 1 січня","Вінницька","2022","44.8"
"Середній вік населення станом на 1 січня","Вінницька","2003","36.8"
"Середній вік населення станом на 1 січня","Вінницька","2004","37"
"Середній вік населення станом на 1 січня","Вінницька","2005","37.1"
"Середній вік населення станом на 1 січня","Вінницька","2006","37.3"
"Середній вік населення станом на 1 січня","Вінницька","2007","37.4"
"Середній вік населення станом на 1 січня","Вінницька","2008","37.5"
"Середній вік населення станом на 1 січня","Вінницька","2009","37.6"
"Середній вік населення станом на 1 січня","Вінницька","2010","37.7"
"Середній вік населення станом на 1 січня","Вінницька","2011","37.8"
"Середній вік населення станом на 1 січня","Вінницька","2012","37.9"
"Середній вік населення станом на 1 січня","Вінницька","2013","37.9"
"Середній вік населення станом на 1 січня","Вінницька","2014","38"
"Середній вік населення станом на 1 січня","Вінницька","2015","38.1"
"Середній вік населення станом на 1 січня","Вінницька","2016","38.2"
"Середній вік населення станом на 1 січня","Вінницька","2017","38.3"
"Середній вік населення станом на 1 січня","Вінницька","2018","38.5"
"Середній вік населення станом на 1 січня","Вінницька","2019","38.7"
"Середній вік населення станом на 1 січня","Вінницька","2020","39"
"Середній вік населення станом на 1 січня","Вінницька","2021","39.1"
"Середній вік населення станом на 1 січня","Вінницька","2022","39.3"
"Середній вік населення станом на 1 січня","Вінницька","2003","40"
"Середній вік населення станом на 1 січня","Вінницька","2004","40.1"
"Середній вік населення станом на 1 січня","Вінницька","2005","40.3"
"Середній вік населення станом на 1 січня","Вінницька","2006","40.4"
"Середній вік населення станом на 1 січня","Вінницька","2007","40.5"
"Середній вік населення станом на 1 січня","Вінницька","2008","40.6"
"Середній вік населення станом на 1 січня","Вінницька","2009","40.7"
"Середній вік населення станом на 1 січня","Вінницька","2010","40.8"
"Середній вік населення станом на 1 січня","Вінницька","2011","40.8"
"Середній вік населення станом на 1 січня","Вінницька","2012","40.9"
"Середній вік населення станом на 1 січня","Вінницька","2013","41"
"Середній вік населення станом на 1 січня","Вінницька","2014","41.1"
"Середній вік населення станом на 1 січня","Вінницька","2015","41.1"
"Середній вік населення станом на 1 січня","Вінницька","2016","41.2"
"Середній вік населення станом на 1 січня","Вінницька","2017","41.3"
