year,region,mtumors,syncmtumors,insitu,ncervix,nhospotal_pht,nbeds_pht,ybeds_pht,nill_pht,nvillage_ill_pht,bed_days_pht,dvisits_pht,hvisits_pht,ndoctors_pht,nnursing_pht,nx_ray_pht,nflurography_pht,nradiology_pht,nradlab_pht,nсt_pht,ncardiogram_pht,ndiaglab_pht,nbacter_pht,nbiochem_pht,ncyto_pht,nimun_pht,nphysic_pht,nendoscop_pht,nultrasound_pht,ndialysis_pht,air_pollution,polluted_dumps,not_cleaned_dumps,dumps_not_cleaned_enough,num_clearing_plants,cpi,population,tincidence_pht,mtumors_pht,syncmtumors_pht,insitu_pht,insitu_pti,mtumors_pti,gdp,aging_level,mean_age
2010,Вінницька,356.0,112.0,113.0,103.0,6.6036,753.7223,752.6318,22315.1106,11531.9325,252029.7975,629355.1831,46480.5696,270.2792,573.7583,5.5131,3.5744,0.2423,0.0606,0.2423,14.2372,15.4489,0.4847,0.0606,0.0606,0.0,16.1153,2.3022,3.2715,0.0606,103.0,2.0,0.0,2.0,98.0,109.1,1650608.0,338.4813,21.56781016449696,6.785378478718145,6.8459622151352715,20.225523536781814,63.71934848756041,14332,22.3,43.4
2010,Волинська,177.0,50.0,81.0,77.0,5.0161,738.2327,737.9433,22185.9521,10829.2457,253996.0354,577636.5557,32842.4322,265.949,562.9109,4.2444,2.7974,0.0965,0.0965,0.3859,12.6367,13.5048,0.3859,0.0965,0.1929,0.0,13.8907,2.4116,3.7621,0.1929,8.2,4.0,1.0,3.0,78.0,109.1,1036665.0,274.4377,17.07398243405536,4.823158879676655,7.813517385076182,28.471001757469242,62.214411247803156,13916,17.5,39.7
2010,Дніпропетровська,767.0,212.0,174.0,150.0,4.6193,885.5064,890.841,24009.1361,3845.2013,300528.5978,732510.2422,60485.5757,325.1844,655.9939,4.9173,3.5464,0.1788,0.0894,0.2384,8.1359,7.7485,0.2086,0.0894,0.0894,0.1788,9.7751,2.6226,3.4868,0.0298,933.1,504.0,133.0,371.0,983.0,109.1,3355481.0,366.8625,22.858123768246635,6.318021171927362,5.185545678846043,14.13484971567831,62.307067424857834,34709,19.8,43.0
2010,Донецька,906.0,234.0,57.0,24.0,3.8731,719.4061,720.727,20000.7836,1634.9284,241871.5439,817549.1298,63816.5194,307.2935,673.5337,5.373,3.2238,0.2239,0.0672,0.1343,5.776,7.2312,0.2239,0.1343,0.1343,0.0448,8.7984,1.8806,2.9104,0.1343,1378.1,550.0,17.0,533.0,1511.0,109.1,4466740.0,337.7855,20.283249080985236,5.238719961314068,1.2760984521149652,3.7778366914103927,60.04772004241782,28986,21.0,44.3
2010,Житомирська,285.0,94.0,33.0,30.0,5.3661,670.452,671.6107,21998.0729,9131.7099,220917.7749,791357.3056,71975.8696,298.7909,647.0044,4.2773,2.9552,0.0778,0.0,0.2333,10.4211,14.3096,0.1555,0.0778,0.0,0.0778,16.5649,2.4886,2.9552,0.0778,18.4,6.0,0.0,6.0,104.0,109.1,1285849.0,307.7344,22.164344335921246,7.310345149391569,2.566397765211934,8.339651250947687,72.02426080363912,14616,21.1,42.6
2010,Закарпатська,126.0,47.0,39.0,35.0,4.7396,736.3266,741.1466,19147.8662,11201.7082,238123.0981,476586.9662,44592.1846,233.6869,491.9354,4.097,2.0083,0.0803,0.0803,0.482,8.9169,18.0748,0.1607,0.0,0.0803,0.0803,13.8172,1.928,3.5346,0.1607,17.4,8.0,1.0,7.0,42.0,109.1,1244828.0,240.7562,10.121880291895748,3.775622013643652,3.132962947491541,13.013013013013014,42.04204204204204,12278,13.9,38.1
2010,Запорізька,456.0,120.0,55.0,26.0,4.4158,754.6101,756.2661,19984.5556,5008.5446,244036.2562,545896.9765,51547.1964,295.8606,616.2153,5.851,2.9807,0.276,0.1104,0.1656,7.1205,9.3836,0.6072,0.276,0.2208,0.1656,9.8252,2.3183,3.3671,0.3312,217.5,73.0,4.0,69.0,410.0,109.1,1811664.0,383.1284,25.17023024136926,6.623744800360331,3.0358830334984854,7.9239302694136295,65.69658550641118,23657,19.9,43.5
2010,Івано-Франківська,163.0,35.0,33.0,24.0,4.6353,770.9768,773.9463,22108.6741,12502.0641,248079.8368,509240.061,47394.2505,290.6282,580.6589,5.2871,3.4765,0.1449,0.0,0.2173,9.7051,14.4852,0.2897,0.0,0.2173,0.0724,14.9922,2.6798,4.0559,0.507,169.2,15.0,0.0,15.0,132.0,109.1,1380716.0,266.456,11.805469046494718,2.534916666425246,2.3900642854866607,8.969828757814623,44.30551780375102,14814,17.9,40.5
2010,Київська,337.0,85.0,30.0,25.0,4.9949,766.0748,766.8879,22053.7774,8795.3982,250900.2395,612531.4503,38135.5401,290.1966,604.3076,4.2979,2.7878,0.1162,0.1162,0.2904,14.8685,15.275,0.1742,0.1162,0.0581,0.0,15.3331,2.6717,3.5429,0.1742,106.8,14.0,0.0,14.0,164.0,109.1,1721764.0,344.8208,19.57294960284917,4.9367973775732334,1.7423990744376117,5.053057099545224,56.76267475155802,26140,20.2,42.8
2010,Кіровоградська,368.0,148.0,23.0,15.0,6.1899,833.0861,836.3284,24143.3824,8476.8644,289142.2721,472170.2683,29702.4314,258.5279,632.1589,5.7969,3.7336,0.1965,0.0983,0.1965,14.5414,12.9694,0.0983,0.0,0.1965,0.1965,14.7379,2.0633,4.3231,0.0983,14.8,24.0,0.0,24.0,69.0,109.1,1017782.0,423.8629,36.15705524365728,14.541424391470864,2.25981595272858,5.331478905887807,85.30366249420491,15533,21.4,43.6
2010,Луганська,526.0,166.0,34.0,18.0,5.2344,857.9276,861.821,23206.0501,2749.4174,288256.7917,703048.8182,53657.6777,308.8206,649.5237,6.0564,3.6338,0.173,0.1298,0.173,5.1479,9.2143,0.7787,0.4326,0.3893,0.173,9.82,2.0332,2.9849,0.0433,511.7,96.0,26.0,70.0,636.0,109.1,2311617.0,318.5216,22.754634526394295,7.18112040186588,1.4708318895387946,4.617683009642809,71.43827244329756,19788,20.7,44.2
2010,Львівська,486.0,122.0,221.0,205.0,4.1575,796.3157,797.1786,21023.5498,8580.1515,265452.8896,523271.8483,48823.0193,264.2946,557.5543,4.5889,2.824,0.1177,0.1177,0.1569,6.5892,10.8252,0.1569,0.0784,0.0784,0.0,10.9428,1.8826,3.2162,0.0392,113.2,59.0,2.0,57.0,330.0,109.1,2549617.0,311.3409,19.061686519975353,4.7850324185946365,8.667968561552579,27.840765936004033,61.224489795918366,16353,18.0,41.1
2010,Миколаївська,372.0,94.0,13.0,8.0,4.7078,702.0502,699.3601,20822.8389,7149.2943,235299.9876,606648.4183,30464.0711,244.8685,514.7892,4.3715,2.6902,0.0841,0.0841,0.1681,5.6325,10.9288,0.0841,0.2522,0.2522,0.1681,9.92,2.6902,3.699,0.0841,21.5,28.0,0.0,28.0,118.0,109.1,1189516.0,395.2868,31.27322373133274,7.9023737385625745,1.0928814744820583,2.76478094427903,79.11527009783072,20276,18.4,42.2
